brand,model,condition,transmission,body_type,fuel_type,price,mileage_km,engine_cc,age,district,has_trim
22,Aqua,3,0,2,2,7225000,103000,1500,12,4,1
15,Navara,3,1,4,0,5950000,260000,2500,19,4,0
18,5008,3,0,4,4,15500000,68500,1200,8,4,0
20,Spacia,2,0,2,2,9250000,0,650,3,4,1
15,Roox,3,0,2,4,7400000,32000,660,3,4,0
20,Swift,3,0,2,4,4450000,148332,1320,24,4,0
20,Maruti,3,1,2,4,2465000,161184,993,21,4,1
22,Corolla,2,3,5,4,18595000,2990,1490,1,4,1
5,CRV,3,0,4,4,12250000,169000,1990,13,4,0
6,Venue,1,0,4,4,11625000,0,1000,1,4,1
6,Santa Fe,3,3,4,0,8200000,179000,2200,14,4,1
6,Venue,1,0,4,4,11625000,0,1000,1,4,1
8,Discovery,3,0,4,0,23500000,190000,3000,12,4,1
20,Wagon R Stingray,0,0,2,4,9900000,200,650,1,4,1
22,Hilux,2,0,4,0,23500000,8000,3000,3,6,1
22,Axio,3,0,5,2,11590000,124000,1500,9,4,1
22,Land Cruiser Sahara,3,0,4,4,48500000,109000,4400,11,12,1
12,CLA 180,3,0,5,4,18790000,95500,1600,9,6,1
22,Vitz,3,0,5,4,9300000,44000,1000,9,4,1
15,Tiida,3,0,5,4,5290000,198000,1500,19,4,1
22,Raize,2,0,2,2,13900000,1200,650,2,4,1
0,A5,3,0,5,4,20950000,82000,1398,8,4,1
5,Vezel,3,0,4,2,9200000,65000,1500,12,4,1
20,Spacia,2,0,2,4,9900000,5000,650,2,4,1
14,Montero,3,0,4,0,15000000,170000,2500,14,19,1
6,Venue,1,0,4,4,11625000,0,1000,1,4,1
16,Alto,3,1,2,4,3800000,86000,800,11,6,1
3,Taft,2,0,2,4,8350000,0,650,2,4,1
4,Raptor Ranger,0,3,4,0,29600000,0,3000,2,4,1
10,ZS,3,0,4,4,9000000,60000,1000,8,4,0
5,Vezel,3,0,4,2,8895000,128000,1500,12,4,1
22,Yaris Cross,0,0,4,2,16200000,34,1500,1,12,1
6,Venue,1,0,4,4,11625000,0,1000,1,4,1
22,Vitz,3,0,2,4,7875000,93000,1000,8,4,1
20,Spacia,0,0,2,4,10000000,0,650,2,4,1
8,Discovery Sport,0,0,4,2,53000000,0,1500,1,4,1
22,Land Cruiser Prado,2,0,4,4,52800000,7000,2700,3,6,1
22,Land Cruiser Prado,3,0,6,0,85500000,7000,2755,2,6,1
3,Terios,3,0,4,4,6790000,145200,1500,19,4,0
12,EQB,3,0,4,1,32000000,33250,0,3,4,1
10,ZS,3,0,4,4,9500000,61900,1500,7,4,0
0,Q7,0,0,4,4,74500000,0,2000,1,4,1
21,Indica,3,1,2,4,2695000,101000,1193,11,13,1
